Age,CityPopulation,CountryCitizen,CountryLive,EmploymentField,EmploymentStatus,Gender,HasDebt,Income,IsEthnicMinority,LanguageAtHome,MaritalStatus,SchoolDegree,SchoolMajor,IsSoftwareDev
28,"between 100,000 and 1 million",United States of America,United States of America,office and administrative support,Employed for wages,male,1,32000,0,English,married or domestic partnership,"some college credit, no degree",NA,0
22,"between 100,000 and 1 million",United States of America,United States of America,food and beverage,Employed for wages,male,0,15000,0,English,NA,"some college credit, no degree",NA,0
19,more than 1 million,United States of America,United States of America,finance,Employed for wages,male,0,48000,0,English,NA,high school diploma or equivalent (GED),NA,0
26,more than 1 million,United States of America,United States of America,"arts, entertainment, sports, or media",Employed for wages,female,1,43000,0,English,NA,bachelor's degree,Cinematography And Film,0
20,"between 100,000 and 1 million",United States of America,United States of America,education,Employed for wages,female,1,6000,1,Khmer,NA,"some college credit, no degree",NA,0
34,more than 1 million,United States of America,United States of America,finance,Self-employed freelancer,male,0,40000,0,English,NA,bachelor's degree,English,0
35,"between 100,000 and 1 million",India,United Kingdom,office and administrative support,Employed for wages,male,0,40000,1,Telugu,married or domestic partnership,master's degree (non-professional),Education,0
33,more than 1 million,United States of America,United States of America,NA,Employed for wages,male,1,80000,0,English,NA,master's degree (non-professional),Business Administration,0
57,"less than 100,000",United States of America,United States of America,NA,Self-employed business owner,male,1,20000,0,English,married or domestic partnership,bachelor's degree,Computer Science,0
23,more than 1 million,Bangladesh,Bangladesh,NA,Not working and not looking for work,male,1,NA,0,Bengali,NA,"some college credit, no degree",NA,0
47,more than 1 million,Canada,Canada,health care,Employed for wages,male,1,90000,0,English,NA,bachelor's degree,Mechanical Engineering,0
NA,"between 100,000 and 1 million",United States of America,United States of America,software development,Employed for wages,male,1,NA,1,English,NA,bachelor's degree,Business Administration,0
37,"between 100,000 and 1 million",Bosnia & Herzegovina,Bosnia & Herzegovina,sales,Self-employed business owner,male,1,NA,1,Serbo-Croatian,married or domestic partnership,"some college credit, no degree",NA,0
29,"less than 100,000",United States of America,United States of America,education,Employed for wages,male,1,17000,0,English,NA,bachelor's degree,Music,0
30,"less than 100,000",Croatia,Croatia,NA,Not working but looking for work,male,1,NA,0,Serbo-Croatian,"single, never married","some college credit, no degree",NA,0
32,more than 1 million,United States of America,United States of America,NA,Employed for wages,female,1,200000,1,English,married or domestic partnership,master's degree (non-professional),Geology,0
44,more than 1 million,United States of America,United States of America,office and administrative support,Employed for wages,female,1,41000,0,English,married or domestic partnership,bachelor's degree,Political Science,0
21,more than 1 million,India,India,NA,Not working but looking for work,male,0,NA,1,Hindi,NA,bachelor's degree,Computer Science,0
21,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working but looking for work,male,1,NA,1,English,NA,"some college credit, no degree",NA,0
28,"less than 100,000",South Africa,South Africa,NA,Self-employed freelancer,male,0,12000,1,English,"single, never married",high school diploma or equivalent (GED),NA,0
25,"between 100,000 and 1 million",United States of America,United States of America,software development,Employed for wages,male,1,75000,1,English,NA,bachelor's degree,Political Science,0
24,more than 1 million,United States of America,United States of America,NA,Doing an unpaid internship,female,0,NA,1,English,NA,"some college credit, no degree",NA,0
23,more than 1 million,Venezuela,Venezuela,NA,A stay-at-home parent or homemaker,male,0,NA,0,Spanish,NA,"some college credit, no degree",NA,0
34,more than 1 million,Spain,United States of America,NA,Doing an unpaid internship,male,0,NA,0,Spanish,NA,bachelor's degree,Information Technology,0
18,"less than 100,000",United States of America,United States of America,NA,Employed for wages,female,1,6000,0,English,NA,high school diploma or equivalent (GED),NA,0
33,"less than 100,000",United States of America,United States of America,health care,Employed for wages,female,1,40000,1,English,NA,bachelor's degree,English,0
28,more than 1 million,Brazil,Brazil,office and administrative support,Employed for wages,male,0,6500,0,Portuguese,NA,high school diploma or equivalent (GED),NA,0
33,"between 100,000 and 1 million",New Zealand,United States of America,NA,Self-employed freelancer,male,1,60000,1,English,married or domestic partnership,high school diploma or equivalent (GED),NA,0
26,"less than 100,000",United States of America,United States of America,finance,Employed for wages,male,0,29000,0,English,NA,"some college credit, no degree",NA,0
39,"between 100,000 and 1 million",United States of America,United States of America,law enforcement and fire and rescue,Employed for wages,male,1,53000,0,English,NA,associate's degree,Information Technology,0
24,"between 100,000 and 1 million",Brazil,Brazil,NA,Not working but looking for work,male,0,NA,0,Portuguese,NA,high school diploma or equivalent (GED),NA,0
34,"less than 100,000",United States of America,United States of America,NA,Not working and not looking for work,male,1,NA,0,English,NA,high school diploma or equivalent (GED),NA,0
19,more than 1 million,Jamaica,United States of America,NA,NA,male,0,NA,1,English,NA,"some college credit, no degree",NA,0
28,more than 1 million,United States of America,United States of America,education,Employed for wages,male,0,52000,0,English,NA,bachelor's degree,Communications,0
24,more than 1 million,Canada,Canada,NA,Not working but looking for work,male,0,NA,0,Russian,NA,high school diploma or equivalent (GED),NA,0
41,"less than 100,000",United Kingdom,United Kingdom,office and administrative support,Employed for wages,male,1,17000,0,English,married or domestic partnership,master's degree (non-professional),English,0
47,more than 1 million,Italy,Italy,sales,Self-employed freelancer,male,0,20000,0,Italian,married or domestic partnership,high school diploma or equivalent (GED),NA,0
22,"between 100,000 and 1 million",Venezuela,Venezuela,NA,Not working but looking for work,male,0,NA,0,Spanish,NA,high school diploma or equivalent (GED),NA,0
20,"less than 100,000",India,India,NA,Doing an unpaid internship,female,0,NA,0,Hindi,NA,high school diploma or equivalent (GED),NA,0
20,"between 100,000 and 1 million",United States of America,United States of America,software development,Employed for wages,male,0,24000,1,Spanish,NA,high school diploma or equivalent (GED),NA,0
19,more than 1 million,Bangladesh,Bangladesh,NA,Not working but looking for work,male,0,NA,0,Bengali,NA,some high school,NA,0
20,more than 1 million,India,Singapore,NA,NA,male,1,NA,1,Hindi,NA,high school diploma or equivalent (GED),NA,0
43,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working and not looking for work,male,0,NA,0,English,NA,"some college credit, no degree",NA,0
33,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,female,0,NA,0,English,married or domestic partnership,high school diploma or equivalent (GED),NA,0
35,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working but looking for work,female,1,NA,0,English,"single, never married","some college credit, no degree",NA,0
30,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,male,0,NA,0,English,NA,bachelor's degree,Chemistry,0
25,"less than 100,000",United States of America,NA,software development,Employed for wages,female,0,64000,0,English,NA,bachelor's degree,Linguistics,0
24,"between 100,000 and 1 million",Macedonia,Macedonia,NA,Not working but looking for work,male,0,NA,0,English,NA,bachelor's degree,Computer Science,0
36,more than 1 million,Cyprus,Greece,software development,Employed for wages,male,1,35000,0,Greek,married or domestic partnership,"some college credit, no degree",NA,0
30,"between 100,000 and 1 million",United States of America,United States of America,health care,Employed for wages,male,1,24000,0,English,NA,"some college credit, no degree",NA,0
34,"between 100,000 and 1 million",United States of America,United States of America,education,Employed for wages,female,1,62500,0,English,NA,master's degree (non-professional),Sociology,0
30,more than 1 million,United States of America,United States of America,NA,A stay-at-home parent or homemaker,female,1,NA,0,English,NA,"professional degree (MBA, MD, JD, etc.)",English,0
25,more than 1 million,United States of America,United States of America,finance,Employed for wages,female,0,75000,1,Mandarin Chinese,NA,bachelor's degree,Economics,0
27,more than 1 million,United States of America,United States of America,transportation,Self-employed business owner,male,1,NA,1,English,NA,associate's degree,Business Administration,0
24,"less than 100,000",United States of America,United States of America,architecture or physical engineering,Employed for wages,male,1,50000,0,English,NA,bachelor's degree,Mechanical Engineering,0
34,more than 1 million,United States of America,United States of America,education,Employed for wages,male,1,40000,0,English,NA,"some college credit, no degree",NA,0
37,more than 1 million,United States of America,United States of America,education,Employed for wages,male,1,56000,1,English,married or domestic partnership,"some college credit, no degree",NA,0
39,"less than 100,000",United States of America,United States of America,transportation,Employed for wages,male,1,35000,0,English,married or domestic partnership,bachelor's degree,Criminal Justice,0
36,"between 100,000 and 1 million",United States of America,United States of America,office and administrative support,Employed for wages,male,1,45000,0,English,married or domestic partnership,associate's degree,Economics,0
25,more than 1 million,United States of America,United States of America,NA,Employed for wages,female,0,37000,0,English,NA,bachelor's degree,Linguistics,0
36,more than 1 million,United States of America,United States of America,"arts, entertainment, sports, or media",Employed for wages,male,1,65000,1,English,married or domestic partnership,master's degree (non-professional),Computer Science,0
32,more than 1 million,United Kingdom,Germany,NA,Not working and not looking for work,male,1,NA,0,English,NA,bachelor's degree,Computer Networking,0
27,more than 1 million,United Kingdom,United Kingdom,finance,Employed for wages,male,0,30000,0,English,NA,bachelor's degree,Linguistics,0
32,"between 100,000 and 1 million",United Kingdom,United Kingdom,office and administrative support,Employed for wages,male,1,23000,0,English,NA,bachelor's degree,Liberal Arts,0
32,"between 100,000 and 1 million",United States of America,United States of America,NA,Employed for wages,female,1,94000,1,Yue (Cantonese) Chinese,NA,bachelor's degree,Electrical Engineering,0
16,more than 1 million,United States of America,United States of America,NA,NA,male,0,NA,0,English,NA,some high school,NA,0
24,more than 1 million,France,United States of America,NA,Not working but looking for work,male,0,NA,0,French,NA,bachelor's degree,Economics,0
34,more than 1 million,United Kingdom,United Kingdom,NA,A stay-at-home parent or homemaker,male,1,NA,0,English,married or domestic partnership,high school diploma or equivalent (GED),NA,0
26,more than 1 million,United States of America,United States of America,sales,Employed for wages,male,1,30000,0,English,"single, never married","some college credit, no degree",NA,0
38,more than 1 million,United States of America,United States of America,NA,NA,female,1,NA,0,English,NA,"some college credit, no degree",NA,0
28,"between 100,000 and 1 million",United States of America,United States of America,architecture or physical engineering,Employed for wages,male,0,60000,0,English,NA,"some college credit, no degree",NA,0
32,"between 100,000 and 1 million",United States of America,United States of America,"arts, entertainment, sports, or media",Self-employed business owner,male,0,67000,1,Yue (Cantonese) Chinese,NA,bachelor's degree,Biology,0
35,"between 100,000 and 1 million",United States of America,United States of America,education,Employed for wages,male,0,50000,0,English,NA,master's degree (non-professional),Linguistics,0
16,"less than 100,000",United States of America,United States of America,NA,Doing an unpaid internship,male,0,NA,0,English,NA,some high school,NA,0
23,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working but looking for work,male,1,NA,1,English,NA,"some college credit, no degree",NA,0
25,"between 100,000 and 1 million",United States of America,United States of America,office and administrative support,Employed for wages,male,1,40000,1,English,married or domestic partnership,bachelor's degree,Anthropology,0
34,more than 1 million,United States of America,United States of America,education,Employed for wages,male,0,45000,0,English,NA,master's degree (non-professional),Physics,0
31,more than 1 million,United States of America,United States of America,finance,Employed for wages,male,1,34000,1,Hindi,NA,bachelor's degree,Liberal Arts,0
46,more than 1 million,Sweden,Sweden,"arts, entertainment, sports, or media",Employed for wages,female,1,45000,0,Swedish,"single, never married",master's degree (non-professional),Linguistics,0
22,more than 1 million,Pakistan,Pakistan,NA,Not working but looking for work,male,0,NA,0,Urdu,"single, never married",some high school,NA,0
25,"less than 100,000",United States of America,United States of America,NA,Military,male,1,NA,0,English,NA,"some college credit, no degree",NA,0
15,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,female,0,NA,0,English,NA,some high school,NA,0
26,more than 1 million,United States of America,United States of America,health care,Employed for wages,female,1,19000,1,Spanish,NA,bachelor's degree,Biology,0
24,more than 1 million,Nepal,Australia,NA,Not working but looking for work,male,0,NA,0,Nepali,NA,bachelor's degree,Information Technology,0
27,"between 100,000 and 1 million",United States of America,United States of America,food and beverage,Self-employed business owner,male,1,50000,0,English,married or domestic partnership,bachelor's degree,Liberal Arts,0
31,more than 1 million,France,Korea South,office and administrative support,Employed for wages,female,0,35000,0,French,NA,master's degree (non-professional),International Business,0
28,more than 1 million,Canada,Canada,transportation,Employed for wages,male,0,70000,0,English,NA,associate's degree,Aviation,0
23,"less than 100,000",France,Canada,NA,NA,male,1,NA,0,French,NA,master's degree (non-professional),Computer Science,0
16,"less than 100,000","Netherlands (Holland, Europe)","Netherlands (Holland, Europe)",food and beverage,Employed for wages,male,0,NA,0,Dutch,NA,no high school (secondary school),NA,0
29,"between 100,000 and 1 million",United States of America,United States of America,education,Employed for wages,female,1,35000,0,English,NA,bachelor's degree,Anthropology,0
43,more than 1 million,Greece,Austria,NA,Self-employed freelancer,male,1,NA,1,Greek,NA,bachelor's degree,Electrical Engineering,0
33,more than 1 million,United States of America,United States of America,NA,Not working but looking for work,female,0,NA,0,English,NA,bachelor's degree,Music,0
18,more than 1 million,Philippines,Canada,NA,NA,female,0,NA,1,English,NA,high school diploma or equivalent (GED),NA,0
21,more than 1 million,United States of America,United States of America,NA,Doing an unpaid internship,male,0,NA,0,English,NA,associate's degree,Electrical Engineering,0
20,more than 1 million,India,India,NA,Not working and not looking for work,male,0,NA,0,Marathi,NA,"some college credit, no degree",NA,0
25,more than 1 million,Jamaica,United Kingdom,office and administrative support,Employed for wages,female,1,26000,1,English,NA,master's degree (non-professional),Psychology,0
24,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,female,0,NA,1,English,NA,bachelor's degree,Communications,0
27,"between 100,000 and 1 million",United States of America,United States of America,software development,Employed for wages,male,1,16000,0,English,NA,bachelor's degree,Physics,0
24,"less than 100,000",Belgium,Belgium,NA,Not working but looking for work,male,0,NA,0,Dutch,NA,master's degree (non-professional),Liberal Arts,0
22,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working but looking for work,male,0,NA,1,Portuguese,NA,bachelor's degree,Information Technology,0
28,more than 1 million,Canada,Canada,software development,Self-employed business owner,male,0,NA,0,English,NA,bachelor's degree,Finance,0
40,more than 1 million,Ireland,Thailand,education,Employed for wages,male,1,24000,1,English,separated,bachelor's degree,Education,0
31,"between 100,000 and 1 million",United States of America,United States of America,"arts, entertainment, sports, or media",Self-employed freelancer,male,1,7000,0,English,NA,bachelor's degree,Linguistics,0
22,"between 100,000 and 1 million",United States of America,United States of America,NA,Doing an unpaid internship,male,0,NA,1,English,NA,associate's degree,Electrical Engineering,0
