Income,Age,HasDebt,IsEthnicMinority,LanguageAtHome,MaritalStatus,SchoolDegree,SchoolMajor,CityPopulation,CountryCitizen,CountryLive,EmploymentField,EmploymentStatus,Gender,IsSoftwareDev
32000,28,1,0,English,married or domestic partnership,"some college credit, no degree",NA,"between 100,000 and 1 million",United States of America,United States of America,office and administrative support,Employed for wages,male,0
15000,22,0,0,English,NA,"some college credit, no degree",NA,"between 100,000 and 1 million",United States of America,United States of America,food and beverage,Employed for wages,male,1
48000,19,0,0,English,NA,high school diploma or equivalent (GED),NA,more than 1 million,United States of America,United States of America,finance,Employed for wages,male,0
43000,26,1,0,English,NA,bachelor's degree,Cinematography And Film,more than 1 million,United States of America,United States of America,"arts, entertainment, sports, or media",Employed for wages,female,0
6000,20,1,1,Khmer,NA,"some college credit, no degree",NA,"between 100,000 and 1 million",United States of America,United States of America,education,Employed for wages,female,0
40000,34,0,0,English,NA,bachelor's degree,English,more than 1 million,United States of America,United States of America,finance,Self-employed freelancer,male,0
32000,23,0,0,Mandarin Chinese,NA,bachelor's degree,Computer Science,more than 1 million,Singapore,Singapore,software development,Employed for wages,male,0
40000,35,0,1,Telugu,married or domestic partnership,master's degree (non-professional),Education,"between 100,000 and 1 million",India,United Kingdom,office and administrative support,Employed for wages,male,0
80000,33,0,0,English,NA,bachelor's degree,Business Administration,"between 100,000 and 1 million",United States of America,United States of America,software development,Employed for wages,male,0
80000,33,1,0,English,NA,master's degree (non-professional),Business Administration,more than 1 million,United States of America,United States of America,NA,Employed for wages,male,0
20000,57,1,0,English,married or domestic partnership,bachelor's degree,Computer Science,"less than 100,000",United States of America,United States of America,NA,Self-employed business owner,male,0
NA,23,1,0,Bengali,NA,"some college credit, no degree",NA,more than 1 million,Bangladesh,Bangladesh,NA,Not working and not looking for work,male,0
90000,47,1,0,English,NA,bachelor's degree,Mechanical Engineering,more than 1 million,Canada,Canada,health care,Employed for wages,male,0
NA,NA,1,1,English,NA,bachelor's degree,Business Administration,"between 100,000 and 1 million",United States of America,United States of America,software development,Employed for wages,male,0
NA,37,1,1,Serbo-Croatian,married or domestic partnership,"some college credit, no degree",NA,"between 100,000 and 1 million",Bosnia & Herzegovina,Bosnia & Herzegovina,sales,Self-employed business owner,male,0
NA,31,0,0,Russian,NA,"professional degree (MBA, MD, JD, etc.)",Math,more than 1 million,Russia,Russia,software development,Employed for wages,female,0
80000,27,0,1,English,NA,bachelor's degree,Economics,more than 1 million,United States of America,United States of America,software development,Employed for wages,female,0
