IsSoftwareDev,Age,AttendedBootcamp,CityPopulation,CountryCitizen,CountryLive,EmploymentStatus,Gender,HasDebt,HasFinancialDependents,HasHighSpdInternet,HasServedInMilitary,HoursLearning,IsEthnicMinority,IsReceiveDiabilitiesBenefits,LanguageAtHome,MoneyForLearning,MonthsProgramming,SchoolDegree
0,28,0,"between 100,000 and 1 million",United States of America,United States of America,Employed for wages,male,1,1,1,0,30,0,0,English,0,1,"some college credit, no degree"
0,22,0,"between 100,000 and 1 million",United States of America,United States of America,Employed for wages,male,0,0,1,0,30,0,0,English,20,2,"some college credit, no degree"
0,19,0,more than 1 million,United States of America,United States of America,Employed for wages,male,0,0,1,0,20,0,0,English,50,24,high school diploma or equivalent (GED)
0,26,0,more than 1 million,United States of America,United States of America,Employed for wages,female,1,0,1,0,20,0,0,English,100,3,bachelor's degree
0,20,0,"between 100,000 and 1 million",United States of America,United States of America,Employed for wages,female,1,0,1,0,25,1,0,Khmer,1300,48,"some college credit, no degree"
0,34,0,more than 1 million,United States of America,United States of America,Self-employed freelancer,male,0,0,1,0,5,0,0,English,0,12,bachelor's degree
1,23,0,more than 1 million,Singapore,Singapore,Employed for wages,male,0,0,1,1,8,0,0,Mandarin Chinese,400,13,bachelor's degree
0,35,0,"between 100,000 and 1 million",India,United Kingdom,Employed for wages,male,0,1,1,0,,1,0,Telugu,0,,master's degree (non-professional)
1,33,0,"between 100,000 and 1 million",United States of America,United States of America,Employed for wages,male,0,0,1,0,5,0,0,English,3000,24,bachelor's degree
0,33,0,more than 1 million,United States of America,United States of America,Employed for wages,male,1,0,1,1,20,0,0,English,30,12,master's degree (non-professional)
0,57,0,"less than 100,000",United States of America,United States of America,Self-employed business owner,male,1,1,1,0,8,0,0,English,400,360,bachelor's degree
0,23,0,more than 1 million,Bangladesh,Bangladesh,Not working and not looking for work,male,1,0,1,0,5,0,0,Bengali,0,12,"some college credit, no degree"
0,47,0,more than 1 million,Canada,Canada,Employed for wages,male,1,0,1,1,5,0,0,English,500,36,bachelor's degree
0,,0,"between 100,000 and 1 million",United States of America,United States of America,Employed for wages,male,1,0,0,0,5,1,0,English,300,12,bachelor's degree
0,37,0,"between 100,000 and 1 million",Bosnia & Herzegovina,Bosnia & Herzegovina,Self-employed business owner,male,1,1,1,0,2,1,0,Serbo-Croatian,0,6,"some college credit, no degree"
1,31,0,more than 1 million,Russia,Russia,Employed for wages,female,0,0,1,0,10,0,0,Russian,,108,"professional degree (MBA, MD, JD, etc.)"
1,27,0,more than 1 million,United States of America,United States of America,Employed for wages,female,0,0,1,0,4,1,0,English,600,36,bachelor's degree
0,29,0,"less than 100,000",United States of America,United States of America,Employed for wages,male,1,0,1,0,5,0,0,English,0,6,bachelor's degree
1,30,0,more than 1 million,Canada,Canada,Self-employed freelancer,male,1,0,1,0,2,0,0,English,0,36,bachelor's degree
0,30,0,"less than 100,000",Croatia,Croatia,Not working but looking for work,male,1,1,1,0,20,0,0,Serbo-Croatian,2000,24,"some college credit, no degree"
0,32,0,more than 1 million,United States of America,United States of America,Employed for wages,female,1,1,1,0,5,1,0,English,30,12,master's degree (non-professional)
1,25,0,"between 100,000 and 1 million",India,United States of America,Doing an unpaid internship,female,1,0,1,0,,1,0,Hindi,,,bachelor's degree
1,29,0,"between 100,000 and 1 million",Singapore,United States of America,Employed for wages,female,0,1,1,0,10,1,0,English,0,90,bachelor's degree
0,44,0,more than 1 million,United States of America,United States of America,Employed for wages,female,1,1,1,0,30,0,0,English,75,2,bachelor's degree
0,21,0,more than 1 million,India,India,Not working but looking for work,male,0,0,0,0,25,1,0,Hindi,0,10,bachelor's degree
0,21,0,"between 100,000 and 1 million",United States of America,United States of America,Not working but looking for work,male,1,0,0,0,25,1,0,English,0,20,"some college credit, no degree"
0,28,0,"less than 100,000",South Africa,South Africa,Self-employed freelancer,male,0,1,1,0,1,1,0,English,100,12,high school diploma or equivalent (GED)
1,28,0,more than 1 million,United States of America,United States of America,Employed for wages,male,1,1,0,0,10,0,0,English,300,18,"trade, technical, or vocational training"
0,25,0,"between 100,000 and 1 million",United States of America,United States of America,Employed for wages,male,1,0,1,0,10,1,0,English,100,6,bachelor's degree
1,35,0,"less than 100,000",United Kingdom,United Kingdom,Employed for wages,male,0,1,1,0,5,0,0,English,,24,master's degree (non-professional)
0,24,0,more than 1 million,United States of America,United States of America,Doing an unpaid internship,female,0,0,1,0,,1,0,English,0,20,"some college credit, no degree"
0,23,0,more than 1 million,Venezuela,Venezuela,A stay-at-home parent or homemaker,male,0,0,0,0,20,0,0,Spanish,0,3,"some college credit, no degree"
0,34,0,more than 1 million,Spain,United States of America,Doing an unpaid internship,male,0,0,1,0,20,0,0,Spanish,100,24,bachelor's degree
0,18,0,"less than 100,000",United States of America,United States of America,Employed for wages,female,1,0,0,0,10,0,0,English,50,8,high school diploma or equivalent (GED)
0,33,0,"less than 100,000",United States of America,United States of America,Employed for wages,female,1,0,1,0,15,1,0,English,20,2,bachelor's degree
0,28,0,more than 1 million,Brazil,Brazil,Employed for wages,male,0,0,1,0,7,0,0,Portuguese,0,2,high school diploma or equivalent (GED)
0,33,0,"between 100,000 and 1 million",New Zealand,United States of America,Self-employed freelancer,male,1,1,1,0,20,1,0,English,1000,70,high school diploma or equivalent (GED)
0,26,0,"less than 100,000",United States of America,United States of America,Employed for wages,male,0,0,1,0,3,0,0,English,250,8,"some college credit, no degree"
1,24,0,more than 1 million,South Africa,South Africa,Employed for wages,male,1,0,1,0,10,1,0,English,2000,24,bachelor's degree
0,39,0,"between 100,000 and 1 million",United States of America,United States of America,Employed for wages,male,1,0,1,0,25,0,0,English,150,6,associate's degree
0,24,0,"between 100,000 and 1 million",Brazil,Brazil,Not working but looking for work,male,0,0,1,0,10,0,0,Portuguese,130,18,high school diploma or equivalent (GED)
