 Ecosystems; – McLean, VA
 WorldQuant; – Greenwich, CT
 Rome Technologies; – Baltimore, MD
 Medical Guardian; – Philadelphia, PA
 Exxact Corporation; – Fremont, CA
 CARFAX; – Dallas, TX
 Adara Media; – Palo Alto, CA
 Colonial Supply Co., Inc.; – King of Prussia, PA
 Sales Partnerships; – Broomfield, CO
 Zonar Systems; – Seattle, WA
 National Agents Alliance; – Raleigh, NC
 Nyansa; – Palo Alto, CA
 Q2eBanking; – Austin, TX
 Cisco Systems; – San Jose, CA
 LCS ; – Cincinnati, OH
 iHeartMedia; – Austin, TX
 Applied Systems; – Atlanta, GA
 Liberty Mutual; – Dover, NH
 Farelogix; – Miami, FL
 Lacework; – Mountain View, CA
 Nyansa; – Palo Alto, CA
 MiTek Industries; – Greenwood Village, Arapahoe, CO
 John Deere; – Waterloo, IA
 Johns Hopkins University Applied Physics Laboratory; – Laurel, MD
 Sandhills Publishing; – Scottsdale, AZ
 American Homes 4 Rent; – Seattle, WA
 Kemper; – Jacksonville, FL
 Geiger; – Lewiston, ME
 Ralis; – Orange, CA
 American Airlines; – Fort Worth, TX
 WorldQuant; – Greenwich, CT
 Medical Guardian; – Philadelphia, PA
 CARFAX; – Dallas, TX
 Colonial Supply Co., Inc.; – King of Prussia, PA
 Zonar Systems; – Seattle, WA
 Nyansa; – Palo Alto, CA
 Cisco Systems; – San Jose, CA
 iHeartMedia; – Austin, TX
 Liberty Mutual; – Dover, NH
 Lacework; – Mountain View, CA
 MiTek Industries; – Greenwood Village, Arapahoe, CO
 Johns Hopkins University Applied Physics Laboratory; – Laurel, MD
 American Homes 4 Rent; – Seattle, WA
 Geiger; – Lewiston, ME
 American Airlines; – Fort Worth, TX
 Cox Automotive; – Atlanta, GA
 ScaleFactor; – Austin, TX
 Social Solutions; – Austin, TX
 Power Innovations International; – American Fork, UT
 ECHELON CONSULTING; – Chicago, IL
 Ritter Insurance Marketing; – Harrisburg, PA
 SigmaTEK Systems, LLC; – Cincinnati, OH
 BECU; – Tukwila, WA
 Kinetica DB; – Arlington, VA
 BKD; – Dallas, TX
 FastSpring; – Santa Barbara, CA
 Adobe; – San Francisco, CA
 Sageworks; – Raleigh, NC
 BNSF; – Fort Worth, TX
 Sentinel Technologies; – Elgin, IL
 IMC Financial Markets; – Chicago, IL
 Globaltranz; – Minneapolis, MN
 MemSQL; – San Francisco, CA
 Cisco Systems; – San Jose, CA
 Atlas Technologies Inc; – Lexington Park, MD
 TA Instruments; – New Castle, DE
 FLIR; – Oak Ridge, TN
 eMoney Advisor; – Radnor, PA
 Decision Resources Group; – Boston, MA
 LogRhythm; – Boulder, CO
 WeGoLook; – Oklahoma City, OK
 JMA Wireless; – Chicago, IL
 Scientific Research; – North Charleston, SC
 ThriveHive; – Denver, CO
 Zonar Systems; – Seattle, WA
 ScaleFactor; – Austin, TX
 Power Innovations International; – American Fork, UT
 Ritter Insurance Marketing; – Harrisburg, PA
 BECU; – Tukwila, WA
 BKD; – Dallas, TX
 Adobe; – San Francisco, CA
 BNSF; – Fort Worth, TX
 IMC Financial Markets; – Chicago, IL
 MemSQL; – San Francisco, CA
 Atlas Technologies Inc; – Lexington Park, MD
 FLIR; – Oak Ridge, TN
 Decision Resources Group; – Boston, MA
 WeGoLook; – Oklahoma City, OK
 Scientific Research; – North Charleston, SC
 Zonar Systems; – Seattle, WA
 UHIN; – Salt Lake City, UT
 Adaptiva; – Bellevue, WA
 Ritter Insurance Marketing; – Harrisburg, PA
 CSRA; – Falls Church, VA
 Hire Road; – Saline, MI
 Cummins; – Columbus, IN
 Fiserv; – Sugar Land, TX
 VITAC; – Greenwood Village, Arapahoe, CO
 Innsoft; – Beaverton, OR
 Proto Labs; – Maple Plain, MN
 EdgeConnex; – Herndon, VA
 Benore Logistic Systems, Inc.; – Erie, MI
 Eagle Investment Systems; – Wellesley, MA
 Raven Software; – Middleton, WI
 Southwest Research Institute; – San Antonio, TX
 Emergency Reporting; – Bellingham, WA
 Atlas Technologies Inc; – Lexington Park, MD
 Cisco Systems; – Alpharetta, GA
 FiscalNote; – New York, NY
 Cornerstone Information Systems; – Bloomington, IN
 Proofpoint; – Broomfield, CO
 Apple Inc.; – Cupertino, CA
 Cisco Systems; – Alpharetta, GA
 Catalant; – Boston, MA
 NC League of Municipalities; – Raleigh, NC
 Mezrah Consulting; – Tampa, FL
 AppRiver; – Gulf Breeze, FL
 CHG Healthcare; – Midvale, UT
 Adobe; – San Jose, CA
 Neptune Technology Group; – Duluth, GA
 Adaptiva; – Bellevue, WA
 CSRA; – Falls Church, VA
 Cummins; – Columbus, IN
 VITAC; – Greenwood Village, Arapahoe, CO
 Proto Labs; – Maple Plain, MN
 Benore Logistic Systems, Inc.; – Erie, MI
 Raven Software; – Middleton, WI
 Emergency Reporting; – Bellingham, WA
 Cisco Systems; – Alpharetta, GA
 Cornerstone Information Systems; – Bloomington, IN
 Apple Inc.; – Cupertino, CA
 Catalant; – Boston, MA
 Mezrah Consulting; – Tampa, FL
 CHG Healthcare; – Midvale, UT
 Neptune Technology Group; – Duluth, GA
 Neptune Technology Group; – Duluth, GA
 Sonos; – Boston, MA
 PerBlue; – Madison, WI
 Connected Technology Solutions; – Menomonee Falls, WI
 Travelers Companies; – Hartford, CT
 Salesforce; – Indianapolis, IN
 Yelp; – San Francisco, CA
 N.F Smith & Associates; – Houston, TX
 WP Engine; – Austin, TX
 David J. Joseph; – Cincinnati, OH
 Esri; – Redlands, CA
 HP Inc.; – San Diego, CA
 Pocket Gems; – San Francisco, CA
 Los Alamos National Laboratory; – Los Alamos, NM
 Continental; – Santa Barbara, CA
 Availity; – Indianapolis, IN
 Medidata Solutions; – New York, NY
 Citrix; – Fort Lauderdale, FL
 SRAM; – Chicago, IL
 Nonin Medical; – Plymouth, MN
 DTE Energy; – Detroit, MI
 Lockheed Martin; – King of Prussia, PA
 Harris; – Colorado Springs, CO
 Apple Inc.; – Cupertino, CA
 Aristocrat Technologies; – Franklin, TN
 NBKC; – Kansas City, MO
 WorldQuant; – Greenwich, CT
 Securus Technologies; – Miramar, FL
 Express Scripts; – Saint Louis, MO
 CACI International; – Vienna, VA
 Sonos; – Boston, MA
 Connected Technology Solutions; – Menomonee Falls, WI
 Salesforce; – Indianapolis, IN
 N.F Smith & Associates; – Houston, TX
 David J. Joseph; – Cincinnati, OH
 HP Inc.; – San Diego, CA
 Los Alamos National Laboratory; – Los Alamos, NM
 Availity; – Indianapolis, IN
 Citrix; – Fort Lauderdale, FL
 Nonin Medical; – Plymouth, MN
 Lockheed Martin; – King of Prussia, PA
 Apple Inc.; – Cupertino, CA
 NBKC; – Kansas City, MO
 Securus Technologies; – Miramar, FL
 CACI International; – Vienna, VA
 Forum One; – Alexandria, VA
 The Bradford Group; – Niles, IL
